Sigtaara,IPA,Romanized,Part of speech,English,Alternate Meaning 1,Alternate Meaning 2,Alternate Meaning 3,Alternate Meaning 4
KÄTME,/kætmə/,ka'tme,n.,destiny, fate,,,
ÂL,/ɑhl/,aal,v.,destroy,,,,
ÂLÍ,/ɑhlir/,aalir,n.,destruction,,,,
DÚLNÍLOG,/durlnirlog/,durlnirlog,n.,detail,,,,
SÉSIGOS,/seɪ̯sigos/,saesigos,v.,detain,,,,
YÂK,/jɑhk/,yaak,v.,detect,,,,
TÂSIGYK,/tɑhsigjk/,taasigyk,n.,detention,,,,
KÚDÍ,/kurdir/,kurdir,v.,deteriorate,,,,
VISɔ,/visɔ/,visoo,n.,device, apparatus, equipment, gadget, accessory
FÄPÍ,/fæpir/,fa'pir,n.,device, equipment, gadget,,
KÍYɔNOG,/kirjɔnog/,kiryoonog,n.,devil,,,,
JEJOGÂK,/dʒədʒogɑhk/,jejogaak,v.,devise, come up with,,,
DU,/du/,du,v.,devour, consume, feast on,,
DUÍ,/duir/,duir,n.,devouring, consumption,,,
YOZKÚZYN,/jozkurzjn/,yozkurzyn,n.,dew,,,,
HUKIGYÁN,/hukigjaɪ̯n/,hukigyaii̯n,v.,diagnose,,,,
PAGÂK,/pɑgɑhk/,pagaak,n.,diagram,,,,
SÄG,/sæg/,sa'g,v.,dial,,,,
MERIGɔG,/mɛrigɔg/,merigoog,n.,dialect,,,,
FAXU,/fɑksu/,faxu,n.,diameter,,,,
SÚL,/surl/,surl,n.,diamond,,,,
MUKUGÂK,/mukugɑhk/,mukugaak,n.,diaper,,,,
YIKIK,/jikik/,yikik,n.,diary, memoir,,,
KÄT,/kæt/,ka't,n.,dick,,,,
SESMIGIZ,/sɛsmigiz/,sesmigiz,n.,dictator,,,,
MUKFITIH,/mukfitih/,mukfitih,n.,dictionary,,,,
DILON,/dilon/,dilon,v.,die, kill,,,
MUG,/mug/,mug,v.,die,,,,
MAKÚKTÂ,/mɑkurktɑh/,makurktaa,n.,diet,,,,
RɔH,/rɔh/,rooh,v.,differ,,,,
MɔTÍ,/mɔtir/,mootir,n.,difference,,,,
NÄTVÄ,/nætvæ/,na'tva',adj.,different,,,,
JAGENÚN,/dʒɑgənurn/,jagenurn,adj.,different, distinct,,,
MÚÍSOH,/murirsoh/,murirsoh,adj.,difficult,,,,
YOPO,/jopo/,yopo,v.,dig, scoop,,,
JɔMI,/dʒɔmi/,joomi,v.,dig,,,,
GUSÂZ,/gusɑhz/,gusaaz,n.,dignity,,,,
KÄVɔL,/kævɔl/,ka'vool,adj.,dim,,,,
LIVRE,/livrə/,livre,v.,diminish,,,,
LIVREÍ,/livrəir/,livreir,n.,diminishment,,,,
BÚKZÄ,/burkzæ/,burkza',v.,dine,,,,
YÚG,/jurg/,yurg,n.,dinner,,,,
MINɔ,/minɔ/,minoo,v.,direct, conduct,,,
KEHI,/kəhi/,kehi,n.,direction (way),,,,
GɔKIKFI,/gɔkikfi/,gookikfi,n.,dirt,,,,
RɔSɔGIK,/rɔsɔgik/,roosoogik,adj.,dirty,,,,
JÄBÄTYK,/dʒæbætjk/,ja'ba'tyk,n.,disaster, catastrophe,,,
FOBÚHɔK,/foburhɔk/,foburhook,n.,disaster, catastrophe, accident,,
MÍK,/mirk/,mirk,v.,discharge,,,,
PILRO,/pilro/,pilro,n.,discount,,,,
NÍS,/nirs/,nirs,v.,discourage, deter,,,
WÍSTEZYS,/wirstəzjs/,wirstezys,n.,discourse,,,,
SɔLYK,/sɔljk/,soolyk,n.,discourse, rhetoric,,,
HÄSGɔ,/hæsgɔ/,ha'sgoo,n.,discovery,,,,
MUH,/muh/,muh,v.,discriminate,,,,
BITɔ,/bitɔ/,bitoo,v.,discuss,,,,
TEZGɔNÚL,/tɛzgɔnurl/,tezgoonurl,n.,discussion,,,,
KRÄSÍIL,/kræsiril/,kra'siril,n.,disease,,,,
VOZFÄ,/vozfæ/,vozfa',v.,disguise,,,,
VIHIZ,/vihiz/,vihiz,n.,disgust,,,,
GELAKÚS,/gɛlɑkurs/,gelakurs,n.,dish, plate, bowl, tray, disk
GUZYININ,/guzjinin/,guzyinin,n.,dish,,,,
DUKANÍ,/dukɑnir/,dukanir,n.,dishonor,,,,
DUKAN,/dukɑn/,dukan,v.,dishonor,,,,
KÄDUKAN,/kædukɑn/,ka'dukan,adj.,dishonored,,,,
WUMO,/wumo/,wumo,n.,disk,,,,
POHDÍ,/pohdir/,pohdir,v.,dismiss,,,,
ZÍLMUN,/zirlmun/,zirlmun,v.,display, demonstrate,,,
YɔNBI,/jɔnbi/,yoonbi,v.,display,,,,
NEWÚ,/nəwur/,newur,v.,dispose,,,,
MEL,/mɛl/,mel,v.,disrupt,,,,
GUTÍ,/gutir/,gutir,n.,distance,,,,
GUT,/gut/,gut,v.,distance,,,,
WÄGMESɔS,/wægməsɔs/,wa'gmesoos,adj.,distant,,,,
GUTZIL,/gutzil/,gutzil,adv.,distantly,,,,
VETɔ,/vətɔ/,vetoo,adj.,distinct, apparent,,,
TOG,/tog/,tog,v.,distinguish,,,,
NONVUL,/nonvul/,nonvul,v.,distinguish, ennoble, dignify,,
KUG,/kug/,kug,v.,distinguish, discriminate,,,
PÍS,/pirs/,pirs,v.,distort,,,,
MANPES,/mɑnpɛs/,manpes,v.,distract,,,,
YOS,/jos/,yos,v.,disturb,,,,
SAK,/sɑk/,sak,n.,ditch, trench,,,
VEYA,/vəjɑ/,veya,n.,ditch,,,,
ZÂ,/zɑh/,zaa,v.,dive,,,,
NOH,/noh/,noh,v.,divide,,,,
TUHME,/tuhmə/,tuhme,v.,divide, isolate,,,
MÄTKE,/mætkɛ/,ma'tke,n.,division,,,,
LEKYG,/lɛkjg/,lekyg,n.,divorce,,,,
DRE,/drɛ/,dre,v.,do,,,,
JEKDÍTIT,/dʒɛkdirtit/,jekdirtit,n.,doctor,,,,
YIFAZ,/jifɑz/,yifaz,n.,document,,,,
TUGRU,/tugru/,tugru,v.,dodge,,,,
LU,/lu/,lu,n.,dog,,,,
DREÍ,/drɛir/,dreir,n.,doing, action,,,
JÍHFɔNIL,/dʒirhfɔnil/,jirhfoonil,n.,doll,,,,
WÂ,/wɑh/,waa,n.,doll, puppet,,,
BɔKNOGÚK,/bɔknogurk/,booknogurk,n.,dome,,,,
REL,/rɛl/,rel,v.,dominate, rule,,,
DISJÚK,/disdʒurk/,disjurk,v.,dominate,,,,
RELÍ,/rɛlir/,relir,n.,domination, dominance, rule, reign,
BIKMIK,/bikmik/,bikmik,v.,donate,,,,
DANIK,/dɑnik/,danik,v.,doom,,,,
DANIKÄ,/dɑnikæ/,danika',adj.,doomed,,,,
NEHNISON,/nɛhnison/,nehnison,n.,door, gate,,,
MOFEK,/mofək/,mofek,n.,door,,,,
TÂLJITɔS,/tɑhldʒitɔs/,taaljitoos,n.,dot,,,,
SɔNYÂKYL,/sɔnjɑhkjl/,soonyaakyl,n.,dot, spot,,,
SÄYÄ,/sæjæ/,sa'ya',n.,double,,,,
GÚHÂ,/gurhɑh/,gurhaa,v.,doubt,,,,
NÂN,/nɑhn/,naan,n.,dove,,,,
DITWUNÂT,/ditwunɑht/,ditwunaat,adv.,down,,,,
GETSɔKÂK,/gɛtsɔkɑhk/,getsookaak,prep.,down,,,,
WÍZIZ,/wirziz/,wirziz,n.,draft,,,,
LEK,/lək/,lek,v.,drag, pull, tow,,
WAK,/wɑk/,wak,v.,drag,,,,
WEZÂ,/wəzɑh/,wezaa,v.,drag, pull,,,
DOVA,/dovɑ/,dova,n.,dragon,,,,
SAROTSOS,/sɑrotsos/,sarotsos,n.,dragonborn (race),,,,
DIV,/div/,div,n.,dragonkind,,,,
DOV,/dov/,dov,n.,dragonkind, dragon, wyrm, the race of dragons,
LEN,/lɛn/,len,v.,drain,,,,
MÂPÄZÚZ,/mɑhpæzurz/,maapa'zurz,n.,drain,,,,
FAT,/fɑt/,fat,v.,drain, divert,,,
ZɔKIS,/zɔkis/,zookis,n.,drain, ditch,,,
Vɔ,/vɔ/,voo,n.,drama, story, fable,,
LEME,/ləmɛ/,leme,n.,drama,,,,
YÍNYIG,/jirnjig/,yirnyig,v.,drape,,,,
MÚ,/mur/,mur,v.,draw,,,,
BANKÄNÚK,/bɑnkænurk/,banka'nurk,n.,drawing,,,,
HANU,/hɑnu/,hanu,v.,dream,,,,
HANUÍ,/hɑnuir/,hanuir,n.,dream,,,,
NɔT,/nɔt/,noot,v.,drench, saturate,,,
DÚNYSVÚH,/durnjsvurh/,durnysvurh,n.,dress, costume,,,
MEKZIL,/məkzil/,mekzil,v.,drift, sail,,,
MÉWɔKɔZ,/meɪ̯wɔkɔz/,maewookooz,v.,drift,,,,
PAKZɔKYT,/pɑkzɔkjt/,pakzookyt,n.,drill,,,,
HÄKFE,/hækfə/,ha'kfe,n.,drink, beverage,,,
BÚ,/bur/,bur,v.,drink, sip,,,
PÄS,/pæs/,pa's,v.,drink,,,,
FÚH,/furh/,furh,v.,drip, splash,,,
KÉLÁT,/keɪ̯laɪ̯t/,kaelaii̯t,v.,drip,,,,
JIKJÂ,/dʒikdʒɑh/,jikjaa,v.,drive, steer,,,
MÉ,/meɪ̯/,mae,v.,drive,,,,
ZES,/zəs/,zes,n.,driver,,,,
PIS,/pis/,pis,v.,drop,,,,
WÄNANOZ,/wænɑnoz/,wa'nanoz,n.,drought,,,,
ZÄLMON,/zælmon/,za'lmon,v.,drown,,,,
DÍKIKOK,/dirkikok/,dirkikok,n.,drug, poison,,,
KULE,/kulə/,kule,n.,drug,,,,
LɔNJUHÚK,/lɔndʒuhurk/,loonjuhurk,n.,drug, medicine, poison,,
RENDENÂZ,/rəndɛnɑhz/,rendenaaz,n.,drugstore,,,,
GOLFIN,/golfin/,golfin,n.,drum,,,,
KIKÄLIG,/kikælig/,kika'lig,adj.,drunk (inebriated),,,,
VIHRENɔH,/vihrənɔh/,vihrenooh,adj.,dry,,,,
ZÍWO,/zirwo/,zirwo,adj.,dry, sober,,,
ZAK,/zɑk/,zak,v.,duck,,,,
MEKGÍ,/mɛkgir/,mekgir,adj.,due,,,,
SETJÚNON,/sɛtdʒurnon/,setjurnon,adj.,dumb, dull, dim,,
KÄDÄ,/kædæ/,ka'da',adj.,dumb,,,,
WÂL,/wɑhl/,waal,adj.,dumb (speechless),,,,
TÍɔ,/tirɔ/,tiroo,n.,dump,,,,
LɔG,/lɔg/,loog,n.,dune,,,,
HIT,/hit/,hit,n.,dungeon,,,,
LILMAL,/lilmɑl/,lilmal,prep.,during,,,,
TEMÄTIN,/tɛmætin/,tema'tin,n.,dusk, twilight,,,
KEKIN,/kɛkin/,kekin,n.,dusk,,,,
MIKAT,/mikɑt/,mikat,n.,dust,,,,
HÉV,/heɪv/,heiiv,n.,duty, moral or ritual obligation,,,
YÂLEK,/jɑhlɛk/,yaalek,n.,dwarf,,,,
DUNÚ,/dunur/,dunur,v.,dwell,,,,
BÍKÚH,/birkurh/,birkurh,n.,dynamics,,,,
ENUK,/ɛnuk/,enuk,det.,each, every, all,,
NINSAZ,/ninsɑz/,ninsaz,det.,each,,,,
NÄKNE,/næknɛ/,na'kne,adj.,eager,,,,
BOGDUZOT,/bogduzot/,bogduzot,n.,eagle,,,,
MIKUNIS,/mikunis/,mikunis,n.,ear,,,,
DUTJOZIN,/dutdʒozin/,dutjozin,adj.,early,,,,
FITYOK,/fitjok/,fityok,v.,earn,,,,
WEKBEHÂZ,/wɛkbɛhɑhz/,wekbehaaz,n.,earring,,,,
GOL,/gol/,gol,n.,earth, ground,,,
DUSDUT,/dusdut/,dusdut,n.,earth,,,,
MÂNMUZ,/mɑhnmuz/,maanmuz,n.,earthquake,,,,
JER,/dʒɛr/,jer,n.,east,,,,
YONFU,/jonfu/,yonfu,adj.,easy,,,,
NAK,/nɑk/,nak,v.,eat,,,,
KÄNAK,/kænɑk/,ka'nak,adj.,eaten,,,,
NAKÍ,/nɑkir/,nakir,n.,eating, consumption,,,
MUZOT,/muzot/,muzot,n.,echo,,,,
JES,/dʒəs/,jes,n.,eclipse,,,,
MEKGU,/məkgu/,mekgu,adj.,economic,,,,
NɔYI,/nɔji/,nooyi,n.,economy,,,,
YÄNJÄ,/jændʒæ/,ya'nja',n.,edge, limit,,,
BUHNÄK,/buhnæk/,buhna'k,v.,edit,,,,
BEZ,/bəz/,bez,n.,education,,,,
LEYEKÚZ,/lɛjəkurz/,leyekurz,n.,eel,,,,
SÍFÄK,/sirfæk/,sirfa'k,n.,effect,,,,
GESIT,/gəsit/,gesit,n.,effort,,,,
KÍWIKOS,/kirwikos/,kirwikos,n.,egg,,,,
AK,/ɑk/,ak,num.,eight,,,,
HIH,/hih/,hih,conj.,either,,,,
YOHWÚZ,/johwurz/,yohwurz,adv.,either,,,,
SOG,/sog/,sog,v.,elaborate,,,,
HIKJOTɔN,/hikdʒotɔn/,hikjotoon,n.,elbow,,,,
KÂKIHɔH,/kɑhkihɔh/,kaakihooh,v.,elect,,,,
BÂWASIT,/bɑhwɑsit/,baawasit,n.,election,,,,
TIQO,/tikwo/,tiqo,n.,electricity,,,,
GEZLENIZ,/gɛzləniz/,gezleniz,adj.,elegant,,,,
LUL,/lul/,lul,n.,element,,,,
KÄG,/kæg/,ka'g,v.,elevate, promote,,,
GIVI,/givi/,givi,v.,elevate,,,,
ZÄLMÍHÚK,/zælmirhurk/,za'lmirhurk,n.,elevation,,,,
ÄDHeL,/ædhel/,a'dhel,n.,elf,,,,
MESɔZÚL,/mɛsɔzurl/,mesoozurl,adj.,elite,,,,
FADE,/fɑdɛ/,fade,n.,elk,,,,
MUKMÄTÂZ,/mukmætɑhz/,mukma'taaz,adv.,else, otherwise,,,
BÍG,/birg/,birg,adj.,elusive,,,,
ÄD,/æd/,a'd,adj.,elven,,,,
JEH,/dʒəh/,jeh,v.,embark,,,,
LÚVU,/lurvu/,lurvu,v.,embarrass,,,,
NITDÂN,/nitdɑhn/,nitdaan,n.,embassy,,,,
NÂLFEK,/nɑhlfɛk/,naalfek,v.,embed,,,,
JEL,/dʒɛl/,jel,v.,embrace,,,,
MANEKɔN,/mɑnɛkɔn/,manekoon,n.,embryo,,,,
YÍZ,/jirz/,yirz,v.,emit,,,,
BÚNYIZ,/burnjiz/,burnyiz,n.,emotion,,,,
MENIZ,/mɛniz/,meniz,n.,emotion, passion,,,
MITKÄ,/mitkæ/,mitka',n.,empathy,,,,
ÂLKI,/ɑhlki/,aalki,n.,emperor,,,,
TUWÚ,/tuwur/,tuwur,n.,emphasis,,,,
NÄGNET,/nægnɛt/,na'gnet,v.,emphasize,,,,
ZÚHMA,/zurhmɑ/,zurhma,n.,empire,,,,
YINGEL,/jingəl/,yingel,v.,employ,,,,
YɔH,/jɔh/,yooh,n.,employer,,,,
KYT,/kjt/,kyt,n.,empress,,,,
GÄZ,/gæz/,ga'z,adj.,empty, tired (needing rest),,,
NIL,/nil/,nil,v.,empty, make void,,,
KÄMÚ,/kæmur/,ka'mur,adj.,empty,,,,
TÂDO,/tɑhdo/,taado,adj.,empty, naked, nude,,
LUWÚT,/luwurt/,luwurt,v.,encounter,,,,
KRIN,/krin/,krin,v.,encourage,,,,
OBLAN,/oblɑn/,oblan,v.,end, die, be killed, be over,
OBLANÍ,/oblɑnir/,oblanir,n.,end, death,,,
NOMɔ,/nomɔ/,nomoo,n.,end,,,,
KIFAKIK,/kifɑkik/,kifakik,v.,endorse,,,,
TANOH,/tɑnoh/,tanoh,n.,enemy,,,,
HOKORON,/hokoron/,hokoron,n.,enemy, adversary, opponent,,
MONÄSÚL,/monæsurl/,mona'surl,n.,enemy, villain,,,
RI,/ri/,ri,n.,energy (strength, stamina),,,
BIVE,/bivɛ/,bive,v.,enforce, impose,,,
PIMÂT,/pimɑht/,pimaat,v.,enforce,,,,
VUNɔKÂS,/vunɔkɑhs/,vunookaas,n.,engine, motor,,,
YATKɔH,/jɑtkɔh/,yatkooh,v.,enjoy,,,,
ONIKIV,/onikiv/,onikiv,v.,enlighten,,,,
ONIKIVÍ,/onikivir/,onikivir,n.,enlightenment,,,,
GAT,/gɑt/,gat,v.,enlist,,,,
KALIS,/kɑlis/,kalis,det.,enough,,,,
SÍN,/sirn/,sirn,v.,enrich,,,,
SAN,/sɑn/,san,v.,enter,,,,
VÍQISÂS,/virkwisɑhs/,virqisaas,n.,entrance,,,,
JUDUH,/dʒuduh/,juduh,n.,environment (natural world),,,,
DÁHÉT,/daɪ̯heɪ̯t/,daii̯haet,v.,envision,,,,
KÄFRUL,/kæfrul/,ka'frul,adj.,ephemeral, temporary,,,
FRULZIL,/frulzil/,frulzil,adv.,ephemerally, temporarily,,,
FRULÍ,/frulir/,frulir,n.,ephemeralness, temporariness,,,
MINÄH,/minæh/,mina'h,adj.,equal, equivalent,,,
BOSKɔKIH,/boskɔkih/,boskookih,n.,equipment, apparatus,,,
SAGTEK,/sɑgtɛk/,sagtek,n.,equipment, fixture,,,
RÍK,/rirk/,rirk,v.,erase,,,,
YOQEZɔT,/jokwəzɔt/,yoqezoot,n.,erection,,,,
VAK,/vɑk/,vak,v.,erode,,,,
FILOK,/filok/,filok,v.,escape,,,,
FILOKÍ,/filokir/,filokir,n.,escape,,,,
ZIPA,/zipɑ/,zipa,v.,escort,,,,
GUL,/gul/,gul,adv.,especially,,,,
RÎ,/rɪ/,rii,n.,essence, spirit, soul,,
MÄSKA,/mæskɑ/,ma'ska,v.,establish,,,,
PÍHZA,/pirhzɑ/,pirhza,v.,estimate,,,,
YOKÚ,/jokur/,yokur,adv.,etcetera,,,,
HAZOT,/hɑzot/,hazot,n.,ethic,,,,
JɔL,/dʒɔl/,jool,v.,evacuate,,,,
WÍK,/wirk/,wirk,v.,evaporate,,,,
WEHOT,/wɛhot/,wehot,adj.,even, parallel,,,
PÂRÍHYS,/pɑhrirhjs/,paarirhys,conj.,even,,,,
KÄJIZ,/kædʒiz/,ka'jiz,adj.,even, equal, stable, equivalent,
ORIN,/orin/,orin,adv.,even, fully, quite,,
BOHÂ,/bohɑh/,bohaa,n.,evening,,,,
TÂTÚG,/tɑhturg/,taaturg,n.,event (occurrence),,,,
MUYO,/mujo/,muyo,adv.,ever,,,,
ÄLUN,/ælun/,a'lun,adv.,ever, at any time,,,
GEYEKIK,/gɛjəkik/,geyekik,det.,every,,,,
VUZÄK,/vuzæk/,vuza'k,det.,every, each,,,
WÚMO,/wurmo/,wurmo,pron.,everybody,,,,
MEGFI,/mɛgfi/,megfi,pron.,everyone,,,,
NEKÂ,/nəkɑh/,nekaa,pron.,everything,,,,
MO,/mo/,mo,n.,evidence, symptom, contract,,
BEJÚHOS,/bədʒurhos/,bejurhos,n.,evidence,,,,
HUL,/hul/,hul,adj.,evident,,,,
HÂNSIKɔZ,/hɑhnsikɔz/,haansikooz,adj.,evil,,,,
NILRÉK,/nilreɪ̯k/,nilraek,v.,evoke,,,,
HUKVEK,/hukvɛk/,hukvek,v.,evoke, provoke,,,
HINFÂ,/hinfɑh/,hinfaa,v.,evolve,,,,
HÄKPE,/hækpɛ/,ha'kpe,v.,exacerbate,,,,
HÄNÍH,/hænirh/,ha'nirh,adj.,exact, precise,,,
MONHAZYN,/monhɑzjn/,monhazyn,adj.,exact, precise, definite,,
FIKÂS,/fikɑhs/,fikaas,adv.,exactly,,,,
KɔN,/kɔn/,koon,v.,exaggerate,,,,
TÂBÚ,/tɑhbur/,taabur,v.,exaggerate,,,,
TOHWEK,/tohwɛk/,tohwek,n.,exam,,,,
ROT,/rot/,rot,n.,example, prototype,,,
DÍNO,/dirno/,dirno,v.,excel,,,,
JÍHON,/dʒirhon/,jirhon,adj.,excellent, fantastic, wonderful, fabulous, terrific
MɔTHE,/mɔthə/,moothe,prep.,except, besides,,,
BILOK,/bilok/,bilok,v.,excite, inspire,,,
GÄLTITYS,/gæltitjs/,ga'ltitys,n.,excitement,,,,
PON,/pon/,pon,v.,exclude,,,,
ZIGIKMɔL,/zigikmɔl/,zigikmool,n.,excrement, sewage,,,
TIJE,/tidʒə/,tije,n.,excrement,,,,
MUHÚK,/muhurk/,muhurk,n.,excuse,,,,
JɔK,/dʒɔk/,jook,v.,execute,,,,
KÄDINOK,/kædinok/,ka'dinok,adj.,executed,,,,
DINOKTUZ,/dinoktuz/,dinoktuz,n.,executioner,,,,
TEMÂ,/təmɑh/,temaa,adj.,exempt,,,,
RɔK,/rɔk/,rook,v.,exercise, practice, train,,
NUK,/nuk/,nuk,v.,exercise,,,,
KÄH,/kæh/,ka'h,v.,exert,,,,
VÍSKOHYH,/virskohjh/,virskohyh,n.,exhibit,,,,
MÚN,/murn/,murn,v.,exist,,,,
MOBÍKYK,/mobirkjk/,mobirkyk,n.,existence,,,,
MÚDO,/murdo/,murdo,n.,exit,,,,
NÂMÚ,/nɑhmur/,naamur,adj.,exotic,,,,
TIG,/tig/,tig,v.,expect, hope,,,
FɔKROGɔT,/fɔkrogɔt/,fookrogoot,v.,expect, predict, hope, anticipate,
TOHI,/tohi/,tohi,v.,expel, fire (from job),,,
HIYALÚK,/hijɑlurk/,hiyalurk,v.,expel,,,,
MONÂZ,/monɑhz/,monaaz,adj.,expensive,,,,
WɔT,/wɔt/,woot,v.,experience,,,,
VIG,/vig/,vig,n.,experience,,,,
NUKɔNLÚ,/nukɔnlur/,nukoonlur,n.,experiment,,,,
SESKO,/sɛsko/,sesko,n.,expert, specialist,,,
LÍPÍ,/lirpir/,lirpir,v.,expire,,,,
LOL,/lol/,lol,v.,explain, excuse,,,
KEFÁ,/kɛfaɪ̯/,kefaii̯,v.,explain,,,,
KÄZ,/kæz/,ka'z,n.,explanation,,,,
LEPO,/ləpo/,lepo,v.,explode, blow up,,,
ZÁWU,/zaɪ̯wu/,zaii̯wu,v.,explode, blow up, erupt,,
TUH,/tuh/,tuh,v.,exploit,,,,
WEH,/wɛh/,weh,v.,explore,,,,
KAGMI,/kɑgmi/,kagmi,v.,export,,,,
SɔN,/sɔn/,soon,v.,expose, uncover,,,
RUNI,/runi/,runi,v.,express,,,,
KɔYOSɔK,/kɔjosɔk/,kooyosook,n.,expression (facial),,,,
VUG,/vug/,vug,v.,extend,,,,
GÍT,/girt/,girt,adj.,external,,,,
ZOKI,/zoki/,zoki,adj.,extinct,,,,
EVENAR,/ɛvɛnɑr/,evenar,v.,extinguish,,,,
EVENARÍ,/ɛvɛnɑrir/,evenarir,n.,extinguishment,,,,
VUS,/vus/,vus,v.,extract, pluck, reap,,
GOYIHIN,/gojihin/,goyihin,adj.,extreme,,,,
MIN,/min/,min,n.,eye,,,,
MUPO,/mupo/,mupo,n.,eyeball,,,,
GIKMIHɔT,/gikmihɔt/,gikmihoot,n.,eyelash,,,,
HIMOK,/himok/,himok,n.,eyelid,,,,
KETNÄ,/kɛtnæ/,ketna',n.,eyelid, eyelash,,,
GORO,/goro/,goro,n.,fabric, textile,,,
VÚN,/vurn/,vurn,v.,face,,,,
LUFT,/luft/,luft,n.,face,,,,
NOSGUZÂK,/nosguzɑhk/,nosguzaak,n.,fact,,,,
YEZE,/jəzɛ/,yeze,n.,factor, variable,,,
YUKIK,/jukik/,yukik,n.,factory, mill,,,
FaÎMÍ,/faɪmir/,faiimir,n.,fade,,,,
FaÎM,/faɪm/,faiim,v.,fade,,,,
FUNT,/funt/,funt,v.,fail,,,,
FUNTÍ,/funtir/,funtir,n.,failure, failing,,,
KISɔH,/kisɔh/,kisooh,n.,failure,,,,
ROZ,/roz/,roz,v.,faint,,,,
JÚTHISOH,/dʒurthisoh/,jurthisoh,adj.,fair, just,,,
RADÚNɔH,/rɑdurnɔh/,radurnooh,n.,fairy,,,,
JODI,/dʒodi/,jodi,n.,faith,,,,
BOJEKYH,/bodʒɛkjh/,bojekyh,adj.,fake,,,,
MA,/mɑ/,ma,v.,fall,,,,
MAÍ,/mɑir/,mair,n.,fall,,,,
MOTI,/moti/,moti,adj.,false,,,,
TANÍLÂ,/tɑnirlɑh/,tanirlaa,n.,family (children and parents), family (related by blood),,,
SUKYS,/sukjs/,sukys,n.,family (children and parents),,,,
METE,/mətɛ/,mete,n.,family (related by blood),,,,
YÍG,/jirg/,yirg,adj.,famous,,,,
GÍMUNYN,/girmunjn/,girmunyn,n.,fan,,,,
DɔZIS,/dɔzis/,doozis,n.,fan (enthusiast),,,,
VENLOH,/vənloh/,venloh,adj.,fancy,,,,
PAYULɔT,/pɑjulɔt/,payuloot,n.,fang,,,,
HÍSE,/hirsɛ/,hirse,n.,fantasy, illusion,,,
BOKZÄLOG,/bokzælog/,bokza'log,n.,fantasy,,,,
KÄGUT,/kægut/,ka'gut,adj.,far,,,,
NÂ,/nɑh/,naa,adv.,far,,,,
TEDÄ,/tədæ/,teda',n.,farm,,,,
MUNÄ,/munæ/,muna',n.,farmer,,,,
WÄZTɔK,/wæztɔk/,wa'ztook,v.,fascinate,,,,
MÂNɔKTE,/mɑhnɔktɛ/,maanookte,n.,fashion,,,,
HEGBISIN,/hɛgbisin/,hegbisin,adj.,fashionable,,,,
LÍTISIN,/lirtisin/,lirtisin,adj.,fast, smart, intelligent, quick,
DENWELOK,/dənwəlok/,denwelok,adj.,fast, smart, intelligent,,
RUMIKÚH,/rumikurh/,rumikurh,adj.,fat,,,,
TILMÉHÂZ,/tilmeɪ̯hɑhz/,tilmaehaaz,adj.,fat, big, obese,,
MÍYÂLIK,/mirjɑhlik/,miryaalik,n.,fat (bodily substance),,,,
JAL,/dʒɑl/,jal,n.,fat (component in food),,,,
DEZ,/dɛz/,dez,n.,fate, destiny,,,
BORME,/bormə/,borme,n.,father,,,,
YAZ,/jɑz/,yaz,n.,fatigue,,,,
BUGTÂ,/bugtɑh/,bugtaa,v.,favor,,,,
RÂ,/rɑh/,raa,v.,favor, advocate,,,
MIMUT,/mimut/,mimut,adj.,favorite,,,,
FÂSÍ,/fɑhsir/,faasir,n.,fear,,,,
FÂS,/fɑhs/,faas,v.,fear,,,,
KÄFASNU,/kæfɑsnu/,ka'fasnu,adj.,fearless,,,,
FASNUÍ,/fɑsnuir/,fasnuir,n.,fearlessness,,,,
VIKLɔSIS,/viklɔsis/,vikloosis,n.,feast, festival,,,
VÉKÉKYH,/veɪ̯keɪ̯kjh/,vaekaekyh,n.,feast,,,,
LASO,/lɑso/,laso,n.,feather,,,,
NAKIP,/nɑkip/,nakip,v.,feed,,,,
NAKIPÍ,/nɑkipir/,nakipir,n.,feeding,,,,
MOS,/mos/,mos,v.,feel (examine by touch),,,,
ZUGU,/zugu/,zugu,v.,feel (perceive, sense),,,
SɔPE,/sɔpə/,soope,v.,feel (perceive, sense), enjoy,,
GON,/gon/,gon,v.,feel (perceive, sense), feel (sense by touch),,
HUVINÚH,/huvinurh/,huvinurh,v.,feel (sense by touch),,,,
JÄGU,/dʒægu/,ja'gu,n.,feeling,,,,
WÄT,/wæt/,wa't,v.,feign,,,,
KIPEZ,/kipɛz/,kipez,n.,felony,,,,
RONVI,/ronvi/,ronvi,n.,female,,,,
WESLET,/wɛslɛt/,weslet,n.,fence, barrier, hurdle, wall,
PÂO,/pɑho/,paao,n.,fence,,,,
FEL,/fɛl/,fel,adj.,feral, ferocious,,,
FELZIL,/fɛlzil/,felzil,adv.,ferociously,,,,
FELÍ,/fɛlir/,felir,n.,ferocity, ferociousness,,,
HÄG,/hæg/,ha'g,n.,ferry,,,,
WÚZIZOK,/wurzizok/,wurzizok,adj.,fertile,,,,
GUKɔL,/gukɔl/,gukool,n.,fertility,,,,
YUGÄ,/jugæ/,yuga',n.,festival,,,,
NASPEKYK,/nɑspəkjk/,naspekyk,n.,fetus, embryo,,,
TUHRE,/tuhrə/,tuhre,n.,fetus,,,,
VO,/vo/,vo,det.,few,,,,
FÍTITPE,/firtitpə/,firtitpe,n.,fiber,,,,
KOTÄLOH,/kotæloh/,kota'loh,n.,fiction,,,,
